Age,Income,Debt_Ratio,Nb_Borrowers,Loan_Amt,Loan_Amt_Req,LTV,FICO_Score,Prior_Custom_Score,Current_Custom_Score,CB_Age_Oldest_TL,CB_Age_Newest_TL,CB_Avg_Mos_File,CB_Nb_Sat_TL,CB_Nb_60_Plus_TL,CB_Nb_90_Plus_TL,CB_Pct_Sat_TL,CB_Mos_Since_Dlq,CB_Max_Dlq_12_Mos,CB_Max_Dlq_Ever,CB_Nb_Total_TL,CB_Nb_TL_Open_12,CB_Pct_IL_TL,CB_Nb_Inq_6_Mos,CB_Nb_Inq_6_Mos_excl_7_Days,CB_Rev_Util,CB_IL_Util,CB_Nb_Rev_TL_w_Bal,CB_Nb_IL_TL_w_Bal,CB_Nb_Rev_Tl_75_Pct_Limit,CB_Pct_TL_w_Bal,Risk_Flag
32,7917,21,1,171355,21500.0,96,686,211,211,33,2,15,13,0,0,100,999,7,8,14,8,21,5,5,24,76,5,3,0,67,1
49,16250,29,2,420000,80000.0,82,661,246,246,345,1,110,57,0,0,95,11,4,6,59,4,25,1,1,24,66,6,4,0,33,0
28,13000,13,2,150277,44500.0,100,761,298,263,97,7,57,17,0,0,100,999,7,8,17,1,24,0,0,19,85,3,3,0,60,1
26,2578,44,1,83000,75000.0,90,712,274,237,97,7,55,15,0,0,87,9,4,6,15,1,67,1,1,0,0,1,2,1,75,0
45,10084,10,2,147000,15000.0,75,702,258,259,206,3,90,46,1,0,96,44,6,5,47,2,26,2,2,45,58,2,4,1,50,0
41,3170,45,1,374000,15000.0,36,716,267,236,174,11,116,27,2,2,100,999,6,8,29,1,17,1,1,13,55,2,1,0,36,0
36,8333,38,2,231000,112900.0,70,792,273,269,132,32,82,7,0,0,100,999,7,8,7,0,29,0,0,1,59,1,2,0,60,1
36,2300,33,1,53000,10400.0,100,649,214,200,178,1,46,17,2,0,90,5,3,5,21,3,57,2,2,43,99,4,6,1,91,0
68,2012,20,1,97240,25000.0,26,689,253,211,373,4,101,23,0,0,96,7,4,6,25,4,52,5,5,49,100,2,1,0,75,0
60,14535,17,2,303930,30000.0,69,794,267,267,405,5,129,10,0,0,100,999,7,8,11,1,45,0,0,29,.,2,1,0,100,1
49,6000,30,1,180963,38000.0,100,692,242,242,281,8,77,26,0,0,92,34,6,6,27,1,35,0,0,55,28,5,2,3,58,1
44,7740,19,1,216597,25000.0,78,717,260,234,290,15,107,10,1,1,82,31,6,3,11,0,36,2,2,32,57,2,3,.,83,1
55,9583,18,2,197001,47600.0,80,723,235,224,260,3,94,42,1,1,98,64,6,3,85,7,27,8,8,14,.,5,2,1,50,1
46,5583,31,2,146081,35000.0,100,720,285,234,224,19,97,21,0,0,100,999,7,8,21,0,33,0,0,57,49,2,2,2,36,1
45,24250,35,2,452000,44384.38,89,695,211,217,241,3,90,55,0,0,100,999,7,8,86,4,35,1,1,58,54,9,7,5,70,1
46,17917,20,2,174104,50000.0,82,705,255,217,64,3,29,13,0,0,100,999,7,8,13,2,38,4,4,22,100,3,2,0,63,0
60,2600,13,1,66885,20000.0,30,629,255,183,295,12,113,18,0,0,56,2,4,6,43,0,17,0,0,58,19,7,2,3,75,0
50,18333,26,2,450000,100000.0,55,695,225,203,95,1,43,33,0,0,100,999,7,8,41,4,17,4,4,17,89,7,3,1,53,1
35,0,4,2,0,14500.0,90,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
44,6536,22,2,103862,24400.0,90,612,203,189,247,6,76,16,4,0,67,4,3,5,21,2,62,2,2,64,82,6,10,2,100,0
50,6509,22,2,130000,5000.0,90,668,210,210,185,8,42,10,0,0,100,999,7,8,10,2,50,5,5,57,86,4,2,2,86,0
49,3500,49,1,178645,25000.0,86,676,261,216,159,7,69,38,0,0,100,999,7,8,40,3,30,0,0,66,.,8,1,5,91,0
41,3903,33,1,86000,19000.0,22,606,189,164,99,4,56,35,5,5,92,4,4,2,40,3,65,0,0,100,45,1,2,.,100,0
77,6362,26,2,259655,50000.0,35,667,251,215,263,5,103,33,0,0,94,1,4,6,48,2,32,2,2,14,48,7,4,2,61,1
40,8917,35,2,220700,43200.0,100,703,232,241,234,12,113,42,2,2,96,35,6,2,45,0,20,0,0,19,.,4,1,0,38,0
43,6250,21,1,133002,34800.0,100,740,275,232,86,9,36,13,0,0,100,999,7,8,13,1,8,0,0,19,.,6,1,0,70,0
36,4542,12,2,56320,8000.0,83,790,288,288,133,15,71,35,0,0,100,999,7,8,37,0,51,2,2,8,49,1,2,0,33,0
50,25000,9,1,200000,100000.0,75,765,301,265,233,4,72,23,0,0,100,999,7,8,23,1,35,0,0,16,40,3,3,0,67,1
39,4917,19,2,112142,21000.0,78,656,207,191,57,11,39,10,1,0,75,20,6,5,13,1,42,1,1,68,88,2,4,1,86,0
60,4654,27,1,82500,40000.0,62,723,288,279,167,16,81,23,0,0,100,999,7,8,24,0,17,0,0,35,70,4,2,2,67,1
58,7007,18,2,100320,18000.0,92,760,277,277,464,12,153,16,0,0,94,19,6,6,16,0,19,1,1,18,27,2,1,0,75,0
53,4167,47,1,144001,30000.0,100,748,282,259,211,3,55,19,0,0,95,81,6,6,19,3,16,3,3,5,82,1,2,0,27,1
35,3167,42,2,65529,16000.0,100,706,253,221,147,24,90,14,1,1,87,15,6,2,15,0,27,0,0,50,35,4,3,1,88,0
59,8392,42,2,300000,50000.0,90,690,247,215,333,1,49,13,2,2,100,999,6,8,20,2,36,3,3,8,96,1,3,0,50,0
26,2917,34,1,137000,12000.0,90,680,263,208,63,1,28,14,0,0,93,37,6,6,15,2,53,1,0,31,.,1,1,0,50,0
34,10000,15,1,86000,21000.0,100,615,221,147,132,1,9,12,0,0,100,999,7,8,5,10,23,8,8,31,98,7,3,1,85,0
46,9167,12,2,125000,13000.0,100,684,284,232,269,6,69,22,0,0,95,2,4,6,22,2,50,0,0,18,77,5,7,0,67,0
39,7083,28,2,177000,50000.0,90,619,239,184,149,6,66,23,0,0,91,1,4,6,23,1,22,3,3,50,95,7,2,3,69,0
47,6834,31,2,195000,19500.0,100,669,219,173,160,5,60,13,2,2,81,51,6,2,16,3,44,3,3,56,.,3,2,1,71,0
51,8500,25,2,150001,63000.0,100,766,302,260,245,5,103,17,0,0,100,999,7,8,17,3,24,1,1,16,37,1,2,0,30,1
62,10300,10,2,123000,23000.0,89,695,286,275,179,7,69,34,0,0,100,999,7,8,34,3,29,1,1,34,83,7,3,1,50,0
36,6200,17,2,85305,28000.0,100,630,238,218,154,3,65,27,0,0,100,999,7,8,27,6,37,2,2,85,74,8,3,5,79,0
48,5833,28,1,132000,38800.0,90,688,235,205,269,2,70,10,3,3,85,70,6,4,13,3,15,1,0,24,91,7,1,0,90,1
50,13750,16,2,250000,50000.0,92,659,249,201,277,6,79,27,0,0,93,25,6,6,30,4,21,11,11,29,43,6,3,2,56,0
58,10000,25,2,154802,52900.0,93,776,320,262,206,26,89,15,0,0,100,999,7,8,17,0,47,0,0,5,.,2,1,0,50,0
88,0,.,2,0,25000.0,63,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
35,2833,17,1,52000,10400.0,100,655,230,243,145,2,54,28,0,0,100,999,7,8,29,5,66,4,3,74,59,5,4,2,82,0
80,11996,9,1,119801,75000.0,63,788,284,271,371,9,133,10,0,0,100,999,7,8,10,1,10,1,1,2,.,2,.,0,25,1
55,7917,23,1,240000,50000.0,73,672,194,197,294,12,126,16,2,2,84,21,6,3,13,0,58,1,1,46,50,1,2,1,75,1
62,8967,24,2,110000,46000.0,105,570,243,173,200,2,71,45,0,0,98,4,4,6,48,3,22,1,1,86,471,19,2,9,81,0
70,7751,25,2,158000,80000.0,60,654,252,230,175,4,107,23,1,1,88,3,4,6,25,1,40,2,2,5,60,1,3,0,33,0
68,3334,23,1,95920,50000.0,52,698,283,256,365,11,83,22,0,0,100,999,7,8,22,1,41,0,0,49,23,6,2,1,73,0
35,10000,22,1,163350,50000.0,60,755,290,243,.,24,91,15,1,0,94,57,6,5,0,0,31,0,0,0,.,2,1,0,50,0
59,8250,38,2,260701,86776.0,100,719,271,254,200,1,63,48,0,0,98,25,6,6,53,2,31,1,1,41,.,3,1,1,36,0
67,3773,34,1,131500,25000.0,87,634,212,209,313,2,78,27,4,1,76,9,4,3,33,4,36,5,5,42,30,6,2,1,73,0
47,5367,41,1,222975,50000.0,81,786,266,276,167,3,134,25,0,0,100,999,7,8,14,1,20,0,0,5,.,4,1,0,36,1
50,10333,22,2,180293,50000.0,89,665,245,196,165,6,69,21,2,1,59,23,6,3,27,4,48,1,1,22,71,2,3,0,63,0
47,10417,10,2,102500,27000.0,94,713,278,243,229,7,72,26,0,0,92,12,6,6,28,2,27,3,3,17,85,2,3,0,45,1
50,4517,38,1,98340,23971.0,100,730,293,245,107,3,52,22,0,0,100,999,7,8,24,3,33,1,1,17,100,4,2,1,55,0
53,5167,46,2,150000,25000.0,82,683,253,194,140,15,54,8,1,0,78,25,6,5,16,0,44,1,1,48,76,4,2,1,86,1
69,2434,17,1,49500,15000.0,61,.,267,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
42,10417,37,1,384939,96000.0,80,692,219,222,182,8,103,24,0,0,92,27,6,6,48,1,79,2,2,68,.,3,2,2,83,0
44,6758,30,1,197472,50000.0,92,666,260,244,251,17,98,35,0,0,92,1,4,6,38,0,16,0,0,60,.,3,1,1,36,0
44,6056,16,2,73001,65700.0,90,618,237,188,90,3,51,35,0,0,100,999,7,8,35,6,40,2,2,68,75,6,4,4,71,0
65,5868,29,2,138475,71000.0,95,780,271,250,315,16,102,18,1,0,95,64,6,5,19,0,53,5,2,0,.,1,1,0,29,1
38,7827,26,2,127490,34116.0,90,783,299,299,230,1,83,22,0,0,100,999,7,8,23,2,22,0,0,1,50,1,2,0,42,1
56,4290,17,2,59840,25800.0,100,652,212,168,54,25,40,2,0,0,50,22,6,6,2,0,100,4,4,.,.,.,1,.,100,0
56,12750,16,2,424820,55000.0,54,759,318,276,142,19,91,27,0,0,100,999,6,7,27,0,37,0,0,9,44,6,3,1,82,1
39,10308,31,2,350000,40800.0,90,718,262,262,185,2,66,25,0,0,100,999,7,8,26,2,23,2,2,26,67,1,2,.,75,1
65,2250,21,1,43000,15000.0,67,743,296,242,108,6,48,18,0,0,100,999,7,8,20,4,60,0,0,9,50,1,4,0,71,0
43,5247,40,2,131000,20000.0,98,680,217,221,.,7,64,37,1,1,95,18,6,6,38,9,18,0,0,39,88,10,2,3,52,0
35,2583,30,2,65000,21000.0,100,751,284,251,131,16,59,19,1,0,90,15,6,5,20,0,30,0,0,3,.,1,1,0,25,0
39,2917,26,1,78000,10000.0,78,662,194,159,83,11,39,16,2,2,100,999,6,8,16,1,56,2,2,60,76,5,2,1,88,0
41,11250,5,2,62000,12400.0,100,.,282,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
58,2500,45,1,155000,28000.0,73,643,189,189,212,32,103,11,1,1,77,9,0,2,13,0,23,0,0,49,.,5,1,2,89,0
69,5000,23,1,196246,25000.0,70,727,272,272,289,3,86,51,0,0,100,999,7,8,52,2,10,2,2,36,.,2,1,2,16,1
38,5500,14,1,55000,12000.0,99,788,288,252,206,3,81,31,0,0,100,999,7,8,33,3,67,1,1,26,88,2,6,0,89,1
55,11377,25,2,280000,50000.0,61,.,289,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
60,8333,38,2,389000,50000.0,64,742,254,257,286,10,128,28,0,0,100,999,7,8,32,1,18,3,3,2,.,5,1,1,38,1
72,1510,49,1,84048,26000.0,74,670,281,222,197,10,73,28,0,0,90,5,4,6,29,2,24,1,1,12,.,7,1,1,57,1
36,7500,24,2,135000,25000.0,100,666,221,168,184,10,112,15,1,0,56,4,4,5,43,1,28,0,0,58,87,5,2,1,70,0
50,11867,41,2,155000,60000.0,95,621,240,215,265,17,81,40,1,0,88,4,6,5,42,0,54,3,1,54,60,3,3,1,67,0
35,4018,32,2,132877,45000.0,89,649,222,181,153,4,52,6,1,1,71,17,6,3,7,1,14,1,1,54,76,5,1,1,86,0
32,2667,32,1,118000,15000.0,78,793,246,250,148,6,72,22,1,0,96,34,6,5,24,1,13,0,0,0,.,1,1,0,12,1
34,20000,36,1,265000,40000.0,79,645,189,166,168,1,67,16,2,2,89,6,0,2,20,1,42,0,0,89,91,2,2,1,83,0
57,1817,42,1,68500,19000.0,100,641,249,182,137,2,52,12,1,1,93,6,2,4,15,1,20,2,2,22,.,2,1,0,67,0
68,4000,52,1,180378,100000.0,72,695,260,227,177,8,95,24,0,0,96,.,6,6,24,1,75,1,1,87,87,4,2,3,100,0
40,4403,35,2,69000,10000.0,82,635,229,203,77,20,45,8,1,0,80,4,4,5,10,0,90,2,2,41,75,1,3,0,100,0
39,17334,25,2,460000,25000.0,93,726,265,246,205,4,94,44,0,0,100,999,7,8,44,7,20,1,1,14,87,10,3,0,57,1
43,0,8,2,0,31900.0,85,.,0,196,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
80,980,23,1,110000,15000.0,14,666,193,220,258,7,94,17,2,2,95,19,6,2,19,3,16,1,1,32,.,5,1,0,55,1
58,7900,57,2,634326,130000.0,76,745,242,244,324,18,110,27,0,0,100,999,7,8,52,0,26,0,0,38,73,4,2,2,86,1
31,15400,22,2,125000,49000.0,100,656,216,200,130,1,33,13,0,0,100,999,7,8,14,6,0,1,1,64,.,7,.,3,78,1
44,7833,28,2,152680,30000.0,92,630,255,214,248,3,85,27,1,1,80,4,0,2,40,3,60,0,0,16,83,4,3,0,64,0
40,2430,32,1,88200,5000.0,106,674,257,237,228,19,126,10,0,0,82,15,6,6,12,0,18,3,3,37,.,6,1,1,88,0
38,7658,19,1,165265,35000.0,89,629,262,216,185,23,79,35,0,0,97,9,4,6,37,0,9,2,2,73,.,11,1,9,86,0
33,2917,45,1,55737,29000.0,52,624,209,194,164,2,88,17,3,3,86,4,4,4,24,2,41,4,4,24,59,4,3,.,78,0
26,2000,34,1,76658,20000.0,58,695,238,210,77,2,38,12,0,0,92,24,6,6,13,3,15,1,1,63,80,3,1,1,80,0
31,2550,23,1,78774,5000.0,90,722,280,234,131,21,67,15,1,0,81,11,3,5,16,0,19,1,1,5,.,1,1,1,50,0
40,0,4,2,0,30000.0,80,.,0,196,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
47,20139,29,2,130000,85000.0,99,625,268,218,128,12,61,29,0,0,97,5,4,6,29,0,45,2,2,37,76,6,8,2,82,1
37,14167,28,2,360048,100000.0,88,725,237,237,102,24,46,7,0,0,100,999,7,8,7,0,100,0,0,.,24,.,3,.,100,1
29,4000,24,1,94001,14000.0,89,652,221,186,95,3,37,19,2,2,100,999,6,8,19,4,37,2,2,43,67,5,4,1,69,0
27,4250,35,2,83838,16000.0,95,633,237,181,34,6,19,11,0,0,100,999,7,8,11,2,45,4,2,49,95,4,2,1,75,0
39,3867,43,1,103000,13000.0,100,667,201,201,214,3,125,10,1,1,54,11,4,2,13,2,23,2,2,14,.,3,1,0,67,0
55,8250,41,2,310000,100000.0,85,.,260,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
36,4267,25,2,65000,50000.0,77,663,237,184,64,40,49,6,0,0,67,6,4,6,6,0,100,0,0,.,72,.,3,.,100,0
31,8333,36,1,247132,47000.0,100,623,245,191,149,13,68,31,0,0,91,1,4,6,32,0,34,1,1,62,64,4,5,2,75,0
45,5152,13,2,118000,25000.0,88,803,273,268,226,44,120,15,0,0,100,999,7,8,15,0,47,1,1,5,.,1,4,0,63,1
45,3250,40,1,171622,60000.0,61,806,272,272,303,4,101,11,0,0,100,999,7,8,12,1,36,0,0,1,97,2,2,0,57,1
33,8233,27,2,364441,50000.0,41,728,263,249,171,2,73,23,0,0,100,999,7,8,24,2,29,5,5,19,25,3,2,0,50,1
46,3750,47,2,116089,25000.0,99,744,240,264,176,27,97,13,0,0,77,40,6,6,13,0,38,1,1,11,5,1,3,0,80,0
68,0,.,1,0,75000.0,45,.,0,189,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1
82,3016,42,1,93390,84051.0,90,795,287,263,523,53,130,7,0,0,100,999,7,8,7,0,14,0,0,0,.,0,.,.,0,0
52,3715,36,1,135542,42600.0,77,730,295,244,183,13,77,16,0,0,100,999,7,8,16,0,19,2,2,37,84,1,1,0,33,0
51,8250,32,2,145062,50000.0,99,656,240,200,261,5,62,27,2,0,76,2,4,5,39,3,28,1,1,8,.,2,2,1,40,0
41,5617,36,1,125000,54000.0,92,759,285,245,108,7,60,17,0,0,100,999,7,8,18,1,28,0,0,36,40,2,3,0,56,0
37,6667,39,2,134494,25000.0,100,.,228,184,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0
36,3200,50,1,171000,15000.0,90,763,297,243,.,33,65,14,0,0,100,999,7,8,17,0,29,1,1,.,.,.,1,.,100,0
40,11110,30,1,363000,30700.0,90,675,222,205,150,3,80,22,1,1,88,21,5,4,25,2,24,0,0,67,99,4,2,2,78,0
37,10296,22,2,213000,33823.0,90,712,271,268,183,6,76,19,0,0,100,999,7,8,19,2,26,0,0,44,15,4,2,2,75,0
68,2941,47,2,66054,59000.0,89,741,293,264,409,8,113,18,0,0,100,999,7,8,18,1,22,0,0,32,87,7,2,1,69,0
42,8451,38,2,228000,72000.0,90,698,256,271,264,2,81,42,1,1,100,999,7,8,44,3,21,3,3,15,50,6,3,1,50,1
39,6803,28,2,224000,15000.0,71,756,299,250,187,0,68,17,0,0,100,999,7,8,18,2,39,0,0,19,96,2,2,0,67,0
28,6250,20,2,142479,15133.0,97,765,301,263,116,4,68,22,0,0,100,999,7,8,22,1,55,0,0,17,32,2,6,0,89,0
27,4583,31,1,107000,12000.0,90,687,268,212,78,4,50,23,0,0,96,11,4,6,24,1,46,2,2,48,76,2,5,0,78,1
42,5893,45,2,105000,43000.0,88,601,210,169,324,3,79,22,6,5,70,3,0,2,37,2,37,2,2,12,66,3,4,0,78,0
31,3250,30,1,99339,15000.0,95,680,254,232,121,0,72,19,1,1,100,999,7,8,20,1,30,0,0,43,47,2,2,1,44,0
37,6167,38,1,180000,40000.0,94,690,217,196,88,7,42,14,1,1,93,25,6,2,16,2,67,2,2,38,63,2,5,.,88,0
